subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,Precio_por_m2,Distrito
Jerónimos,153.0,3,2.0,1,False,1795,556000,3634,Pisos,False,False,True,True,other,True,6739.32,Retiro
Berruguete,75.0,3,2.0,6,False,1248,319000,4253,Pisos,True,False,True,True,other,False,3273.56,Tetuán
Almagro,70.0,2,1.0,1,False,1644,490000,7000,Pisos,False,False,False,False,other,False,6564.27,Chamberí
El Plantío,270.0,6,5.0,-1,False,1869,588000,2178,Casa o chalet,True,False,True,True,other,True,2569.96,Moncloa
Guindalera,54.0,2,1.0,7,False,1230,312000,5778,Pisos,False,False,True,True,other,False,4367.9,Salamanca
Imperial,70.0,2,2.0,1,False,1299,340000,4857,Pisos,False,False,True,True,other,False,4098.59,Arganzuela
Hortaleza,167.0,4,4.0,3,False,2211,739000,4425,Dúplex,False,False,True,True,other,True,2679.63,Hortaleza
Pueblo Nuevo,78.0,2,1.0,2,False,1037,239500,3071,Pisos,False,True,True,True,other,False,2578.87,Ciudad Lineal
Gaztambide,195.0,4,2.0,4,False,2108,692000,3549,Pisos,False,False,True,True,other,False,5000.0,Chamberí
Chamberí,432.0,6,2.0,-1,False,-221,1395000,3229,Pisos,False,False,False,True,E,False,4548.3,Chamberí
San Fermín,144.0,4,2.0,1,False,1108,265000,1840,Pisos,False,False,True,True,other,True,1912.8,Usera
Barrio de Salamanca,95.0,1,1.0,0,True,1839,575000,6053,Pisos,False,False,True,True,other,False,6882.35,Salamanca
Usera,110.0,3,2.0,3,False,702,139000,1264,Pisos,False,False,False,True,other,False,1637.13,Usera
Retiro,165.0,4,2.0,3,False,1885,595000,3606,Pisos,False,False,True,True,other,False,4246.58,Retiro
Barrio de Salamanca,201.0,3,4.0,2,False,-44765,2150000,10697,Pisos,False,False,True,True,other,False,8392.43,Salamanca
Chamartín,92.0,2,1.0,5,False,1827,570000,6196,Pisos,False,False,True,True,other,False,5363.75,Chamartín
Centro,49.0,2,1.0,2,False,1116,268000,5469,Pisos,False,False,True,False,E,False,5196.25,Centro
Vista Alegre,127.0,4,2.0,3,False,1311,345000,2717,Pisos,False,False,True,True,F,True,2048.47,Carabanchel
Ensanche de Vallecas - La Gavia,137.0,3,2.0,1,False,913,199000,1453,Pisos,False,False,True,True,other,True,2677.28,Villa de Vallecas
Ciudad Lineal,177.0,3,2.0,1,False,2012,650000,3672,Pisos,False,False,True,True,other,False,4235.69,Ciudad Lineal
Vista Alegre,75.0,2,1.0,4,False,561,105000,1400,Pisos,False,False,False,True,other,False,2048.47,Carabanchel
Malasaña-Universidad,82.0,2,2.0,1,False,1712,520000,6341,Pisos,False,False,True,True,other,False,5196.25,Centro
El Viso,120.0,3,2.0,7,False,2012,650000,5417,Pisos,False,False,True,True,other,False,6255.45,Chamartín
Fuencarral,428.0,7,6.0,-1,False,2515,985000,2301,Casa o chalet,False,False,True,True,D,True,3271.96,Fuencarral
Tetuán,398.0,7,5.0,8,False,-65933,2300000,5779,Pisos,True,False,True,True,other,True,4347.59,Tetuán
Chamartín,309.0,3,3.0,1,False,2399,1080000,3495,Pisos,False,False,True,True,other,True,5363.75,Chamartín
Moncloa,60.0,2,1.0,8,False,1135,274900,4582,Pisos,False,False,True,True,other,False,3810.08,Moncloa
Puerta Bonita,62.0,3,1.0,2,False,744,150000,2419,Pisos,False,False,False,False,C,False,1980.04,Carabanchel
Tetuán,130.0,3,2.0,7,False,1978,635000,4885,Pisos,False,False,True,True,other,False,3536.07,Tetuán
Retiro,90.0,3,3.0,6,False,1642,489000,5433,Pisos,False,False,True,True,other,False,4105.12,Retiro
Aravaca,855.0,5,8.0,-1,False,-84370,2404800,2813,Casa o chalet,False,False,True,True,other,False,3600.4,Moncloa
Palomas,135.0,3,3.0,0,True,2265,765000,5667,Pisos,False,False,True,True,other,True,3773.82,Hortaleza
Goya,125.0,3,2.0,6,False,2092,685000,5480,Pisos,False,False,True,True,D,False,5887.64,Salamanca
Prosperidad,58.0,1,1.0,3,False,1101,262500,4526,Áticos,False,False,False,True,other,False,4255.84,Chamartín
Los Rosales,75.0,3,1.0,-1,True,705,139900,1865,Pisos,False,False,False,True,other,False,1827.79,Villaverde
Montecarmelo,135.0,2,2.0,4,False,1955,625000,4630,Áticos,False,False,True,True,other,True,4610.95,Fuencarral
Opañel,96.0,2,2.0,3,False,1213,305000,3177,Dúplex,False,False,True,True,other,False,2235.32,Carabanchel
Moncloa,200.0,4,3.0,1,False,2124,699000,3495,Pisos,True,False,True,True,other,True,3810.08,Moncloa
Los Cármenes,115.0,4,2.0,5,False,1416,390000,3391,Pisos,True,False,True,True,other,False,2458.61,Latina
Valdezarza,96.0,3,1.0,1,False,1272,329000,3427,Pisos,False,False,True,True,other,True,2951.77,Moncloa
San Andrés,60.0,2,1.0,2,False,646,125000,2083,Pisos,False,False,False,True,other,False,1617.18,Villaverde
Trafalgar,117.0,4,2.0,7,False,1892,598000,5111,Pisos,True,False,True,True,other,False,5640.18,Chamberí
Almendrales,100.0,4,2.0,0,True,884,190000,1900,Pisos,True,False,True,False,other,False,2205.31,Usera
Gaztambide,95.0,2,2.0,2,False,2205,736060,7748,Pisos,False,True,True,True,B,True,5000.0,Chamberí
Pacífico,130.0,2,2.0,6,False,1655,495000,3808,Pisos,False,False,True,True,other,False,4105.12,Retiro
Puerta del Ángel,42.0,1,1.0,0,True,658,128000,3048,Pisos,False,False,True,True,other,False,2443.62,Latina
Malasaña-Universidad,179.0,4,1.0,4,False,2275,770000,4302,Pisos,False,False,True,True,F,False,5196.25,Centro
Carabanchel,102.0,2,2.0,6,False,1195,298000,2922,Áticos,False,False,True,True,G,True,3120.54,Carabanchel
San Juan Bautista,238.0,4,2.0,2,False,-4705,1585000,6660,Pisos,False,True,True,True,other,True,4098.7,Ciudad Lineal
Vista Alegre,176.0,4,2.0,4,False,1237,314900,1789,Pisos,False,False,True,True,other,True,2048.47,Carabanchel
Hortaleza,60.0,9,8.0,-1,False,-2871645,4975000,4326,Casa o chalet,False,False,True,True,A,True,4275.46,Hortaleza
Colina,44.0,0,1.0,5,False,1038,240000,5455,Pisos,False,False,True,True,other,True,4677.53,Ciudad Lineal
Chueca-Justicia,39.0,1,1.0,4,False,1197,299000,7667,Pisos,False,False,False,False,other,False,6029.36,Centro
Gaztambide,175.0,4,3.0,2,False,2324,795000,4543,Pisos,False,False,True,True,other,False,5000.0,Chamberí
Tetuán,115.0,0,1.0,0,True,1428,395000,3435,Pisos,False,False,False,False,E,True,3163.8,Tetuán
Barrio de Salamanca,332.0,6,5.0,5,False,-14150,1800000,5422,Pisos,True,False,True,True,other,True,6882.35,Salamanca
Sol,208.0,3,2.0,1,False,2475,895000,4303,Pisos,False,False,True,True,D,False,5390.99,Centro
Malasaña-Universidad,89.0,3,1.0,1,False,1323,350000,3933,Pisos,False,False,False,True,other,False,5196.25,Centro
Portazgo,47.0,2,1.0,2,False,587,111000,2362,Pisos,False,False,False,True,G,False,1896.75,Puente de Vallecas
Hortaleza,146.0,3,2.0,1,False,1943,620000,4247,Pisos,False,False,True,True,other,True,3773.82,Hortaleza
Chamartín,104.0,3,1.0,0,True,1250,320000,3077,Pisos,True,False,False,True,E,False,5170.22,Chamartín
Nuevos Ministerios-Ríos Rosas,185.0,4,4.0,1,False,2275,770000,4162,Pisos,False,False,True,True,D,False,5000.0,Chamberí
Malasaña-Universidad,133.0,2,2.0,1,False,2494,915906,6887,Pisos,False,True,True,True,other,False,5196.25,Centro
Vallehermoso,94.0,3,1.0,2,False,1382,375000,3989,Pisos,False,False,True,False,D,False,4548.3,Chamberí
Buena Vista,79.0,3,1.0,4,False,743,149900,1897,Pisos,False,False,False,False,other,False,1886.6,Carabanchel
